estado,estado_codigo,termo,interesse,ano,grupo
Pernambuco,BR-PE,SQL,9,2022,linguagens
Piauí,BR-PI,SQL,4,2022,linguagens
Rio Grande do Norte,BR-RN,SQL,6,2022,linguagens
Rio Grande do Sul,BR-RS,SQL,11,2022,linguagens
Rio de Janeiro,BR-RJ,SQL,9,2022,linguagens
Rondônia,BR-RO,SQL,8,2022,linguagens
Roraima,BR-RR,SQL,4,2022,linguagens
Santa Catarina,BR-SC,SQL,13,2022,linguagens
Sergipe,BR-SE,SQL,8,2022,linguagens
São Paulo,BR-SP,SQL,15,2022,linguagens
Tocantins,BR-TO,SQL,10,2022,linguagens
Acre,BR-AC,R,58,2022,linguagens
Alagoas,BR-AL,R,53,2022,linguagens
Amapá,BR-AP,R,61,2022,linguagens
Amazonas,BR-AM,R,48,2022,linguagens
Bahia,BR-BA,R,57,2022,linguagens
Ceará,BR-CE,R,49,2022,linguagens
Distrito Federal,BR-DF,R,37,2022,linguagens
Espírito Santo,BR-ES,R,48,2022,linguagens
Goiás,BR-GO,R,54,2022,linguagens
Maranhão,BR-MA,R,59,2022,linguagens
Mato Grosso,BR-MT,R,59,2022,linguagens
Mato Grosso do Sul,BR-MS,R,56,2022,linguagens
Minas Gerais,BR-MG,R,50,2022,linguagens
Paraná,BR-PR,R,50,2022,linguagens
Paraíba,BR-PB,R,45,2022,linguagens
Pará,BR-PA,R,56,2022,linguagens
Pernambuco,BR-PE,R,48,2022,linguagens
Piauí,BR-PI,R,63,2022,linguagens
Rio Grande do Norte,BR-RN,R,52,2022,linguagens
Rio Grande do Sul,BR-RS,R,48,2022,linguagens
Rio de Janeiro,BR-RJ,R,47,2022,linguagens
Rondônia,BR-RO,R,61,2022,linguagens
Roraima,BR-RR,R,63,2022,linguagens
Santa Catarina,BR-SC,R,44,2022,linguagens
Sergipe,BR-SE,R,53,2022,linguagens
São Paulo,BR-SP,R,44,2022,linguagens
Tocantins,BR-TO,R,57,2022,linguagens
Acre,BR-AC,Scala,1,2022,linguagens
Alagoas,BR-AL,Scala,0,2022,linguagens
Amapá,BR-AP,Scala,0,2022,linguagens
Amazonas,BR-AM,Scala,0,2022,linguagens
Bahia,BR-BA,Scala,1,2022,linguagens
Ceará,BR-CE,Scala,0,2022,linguagens
Distrito Federal,BR-DF,Scala,1,2022,linguagens
Espírito Santo,BR-ES,Scala,0,2022,linguagens
Goiás,BR-GO,Scala,1,2022,linguagens
Maranhão,BR-MA,Scala,1,2022,linguagens
Mato Grosso,BR-MT,Scala,1,2022,linguagens
